"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2218.90219611698
"2","member","Sunday",849.190363913785
"3","casual","Monday",1894.88313815276
"4","member","Monday",738.370775309687
"5","casual","Tuesday",1676.25535331433
"6","member","Tuesday",725.519922164165
"7","casual","Wednesday",1598.61490343998
"8","member","Wednesday",726.661808243149
"9","casual","Thursday",1656.18769003611
"10","member","Thursday",738.370280382705
"11","casual","Friday",1832.06648402341
"12","member","Friday",753.573551612344
"13","casual","Saturday",2109.21454800946
"14","member","Saturday",857.340289401435
